month,zip_code,response time
2020-01,10000,92.69796296296296
2020-01,10001,199.97833182161756
2020-01,10002,160.08980137734105
2020-01,10003,179.67724677840857
2020-01,10004,61.906597222222224
2020-01,10005,63.89124172185431
2020-01,10006,132.7814898989899
2020-01,10007,117.5276334208224
2020-01,10009,142.90307086614172
2020-01,10010,279.79260857583773
2020-01,10011,190.42397405802336
2020-01,10012,182.0589161407535
2020-01,10013,136.5624918540241
2020-01,10014,185.2508356417359
2020-01,10016,128.63474959075097
2020-01,10017,308.61217555555555
2020-01,10018,190.6055195325008
2020-01,10019,150.9434705581157
2020-01,10020,498.50425925925924
2020-01,10021,152.06051144196306
2020-01,10022,180.32872658665212
2020-01,10023,152.08756496950411
2020-01,10024,137.75347702183825
2020-01,10025,139.02694444444444
2020-01,10026,143.3866687016687
2020-01,10027,133.1046393034826
2020-01,10028,137.92498749728202
2020-01,10029,107.81826936325164
2020-01,10030,132.66201075015692
2020-01,10031,96.8755940652123
2020-01,10032,135.72236032531825
2020-01,10033,135.0402175469632
2020-01,10034,136.93680961663418
2020-01,10035,124.98860447877652
2020-01,10036,233.7336618705036
2020-01,10037,108.19565982649316
2020-01,10038,81.66637115839244
2020-01,10039,130.8997622119023
2020-01,10040,121.72586615096108
2020-01,10041,335.4262037037037
2020-01,10044,118.57032986111112
2020-01,10045,35.85861111111111
2020-01,10065,183.16593971631207
2020-01,10069,121.90222222222222
2020-01,10075,157.80854215918043
2020-01,10103,38.09034722222222
2020-01,10105,103.34796296296297
2020-01,10110,12.721666666666666
2020-01,10118,437.9333796296296
2020-01,10119,448.7636111111111
2020-01,10120,635.3035416666667
2020-01,10121,443.18600574712644
2020-01,10123,6.735722222222222
2020-01,10128,170.3889121663563
2020-01,10151,2.854722222222222
2020-01,10152,16.92888888888889
2020-01,10154,3.1352777777777776
2020-01,10155,4.200555555555556
2020-01,10162,14.369305555555556
2020-01,10165,357.9757638888889
2020-01,10166,0.44055555555555553
2020-01,10168,799.7796666666666
2020-01,10169,7.814783950617285
2020-01,10170,85.35
2020-01,10171,127.29777777777778
2020-01,10172,16.50138888888889
2020-01,10173,47.89472222222222
2020-01,10177,654.2323611111111
2020-01,10178,108.91324074074073
2020-01,10271,1996.1293055555557
2020-01,10278,307.92284722222223
2020-01,10279,23.529884259259262
2020-01,10280,177.6625664251208
2020-01,10281,328.97020833333335
2020-01,10282,37.062092013888886
2020-01,10301,132.63129015620396
2020-01,10302,192.71846441947565
2020-01,10303,123.03564730639731
2020-01,10304,134.55953978159124
2020-01,10305,114.00584579439253
2020-01,10306,111.44068573797678
2020-01,10307,167.29051553672318
2020-01,10308,127.24980537280702
2020-01,10309,126.48929516622923
2020-01,10310,114.0392653017701
2020-01,10312,112.27048198733175
2020-01,10314,106.50863344629288
2020-01,10451,161.21654425612053
2020-01,10452,188.60243778935185
2020-01,10453,216.2103062157221
2020-01,10454,173.18566872427982
2020-01,10455,143.68070817688778
2020-01,10456,172.13596822541967
2020-01,10457,153.19155394877788
2020-01,10458,200.79336477074872
2020-01,10459,209.152697749942
2020-01,10460,178.17785863977855
2020-01,10461,157.0575061728395
2020-01,10462,148.94559432454037
2020-01,10463,156.97805453506408
2020-01,10464,182.40720064724917
2020-01,10465,132.2992951907131
2020-01,10466,154.5715369166892
2020-01,10467,259.8156367358464
2020-01,10468,202.70013368513634
2020-01,10469,172.15083940642165
2020-01,10470,163.10850557244174
2020-01,10471,73.20744027496056
2020-01,10472,134.98678614328614
2020-01,10473,131.39573498581822
2020-01,10474,277.81290242165244
2020-01,10475,98.70847578347578
2020-01,11001,157.16101666666668
2020-01,11004,425.41927536231884
2020-01,11005,38.17597222222222
2020-01,11040,361.1365025252525
2020-01,11101,133.38987960872836
2020-01,11102,137.8085986319098
2020-01,11103,123.6145156289547
